Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.1920438957476
Japan,JPN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.2661179698217
Japan,JPN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.3347050754458
Japan,JPN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.3950617283951
Japan,JPN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.4499314128944
Japan,JPN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.480109739369
Japan,JPN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.5130315500686
Japan,JPN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.6008230452675
Japan,JPN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.6447187928669
Japan,JPN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.6968449931413
Japan,JPN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.7572016460905
Japan,JPN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.8148148148148
Japan,JPN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.8724279835391
Japan,JPN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9327846364883
Japan,JPN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9931412894376
Japan,JPN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0672153635117
Japan,JPN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1495198902606
Japan,JPN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4252400548697
Japan,JPN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4609053497942
Japan,JPN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.5679012345679
Japan,JPN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.6886145404664
Japan,JPN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.8120713305898
Japan,JPN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.9286889742183
Japan,JPN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.1755348326934
Japan,JPN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.2879868348875
Japan,JPN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.4004388370817
Japan,JPN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.5074053757543
Japan,JPN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.6143719144268
Japan,JPN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.7131102578168
Japan,JPN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.9544706527702
Japan,JPN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.0175534832693
Japan,JPN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.0625171373732
Japan,JPN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.1245200219419
Japan,JPN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.4409103372635
